Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
S00001,21,49,47,52,1.8,0
S00002,22,55,60,78,2.9,0
S00003,20,78,72,71,7.8,1
S00004,22,35,71,65,1.5,0
S00005,22,73,79,70,5.4,1
S00006,19,51,75,47,5.0,1
S00007,20,67,78,80,4.0,1
S00008,20,77,45,35,4.6,1
S00009,20,68,79,48,5.8,1
S00010,22,77,44,67,2.5,0
S00011,21,60,74,80,6.1,1
S00012,20,95,79,73,8.2,1
S00013,22,88,88,81,7.8,1
S00014,19,42,61,30,2.4,0
S00015,21,86,72,69,2.3,0
S00016,19,63,56,67,3.4,1
S00017,21,58,73,66,4.2,1
S00018,22,55,70,69,4.7,1
S00019,18,76,60,83,7.1,1
S00020,21,55,44,57,1.5,0
S00021,19,56,52,34,1.3,0
S00022,22,65,79,94,4.5,1
S00023,21,86,84,92,7.3,1
S00024,18,57,46,46,2.7,0
S00025,18,58,75,72,6.8,1
S00026,20,62,84,61,3.3,1
S00027,20,62,87,96,9.0,1
S00028,19,90,83,58,9.1,1
S00029,21,55,69,59,3.7,1
S00030,21,64,69,42,3.1,1
S00031,20,82,63,65,4.7,1
S00032,21,53,67,58,3.2,1
S00033,21,89,74,78,7.1,1
S00034,18,79,91,74,8.4,1
S00035,20,96,80,68,7.1,1
S00036,22,80,89,89,8.4,1
S00037,20,60,59,74,4.6,1
S00038,22,66,49,67,2.4,0
S00039,18,76,90,76,7.6,1
S00040,19,58,65,60,4.2,1
S00041,21,73,81,75,7.0,1
S00042,18,63,59,70,3.4,1
S00043,21,70,65,32,1.7,0
S00044,19,70,83,91,9.9,1
S00045,19,60,57,64,2.4,0
S00046,18,96,98,87,9.9,1
S00047,19,91,100,85,9.8,1
S00048,22,95,76,50,8.1,1
S00049,19,77,99,71,6.9,1
S00050,21,73,77,95,6.2,1
S00051,21,91,73,83,8.8,1
S00052,21,65,67,61,3.6,1
S00053,21,67,66,70,5.2,1
S00054,22,82,80,79,6.6,1
S00055,20,62,67,76,4.7,1
S00056,18,63,69,66,4.8,1
S00057,21,61,55,71,4.0,1
S00058,19,88,85,93,6.1,1
S00059,21,53,72,95,8.7,1
S00060,19,65,48,90,2.8,0
S00061,19,88,92,77,9.4,1
S00062,21,62,96,97,7.2,1
S00063,22,87,79,72,8.4,1
S00064,19,79,81,77,6.0,1
S00065,19,88,93,89,8.0,1
S00066,21,28,62,50,1.1,0
S00067,19,97,80,82,8.4,1
S00068,19,48,42,68,1.4,0
S00069,21,93,62,75,9.0,1
S00070,21,97,87,100,9.9,1
S00071,18,56,76,48,3.6,1
S00072,22,68,48,85,2.9,0
S00073,22,78,89,92,7.9,1
S00074,19,42,51,62,3.3,1
S00075,22,97,86,78,8.8,1
S00076,19,50,64,53,1.9,0
S00077,18,50,50,58,2.1,0
S00078,21,85,91,86,9.8,1
S00079,21,81,73,92,7.1,1
S00080,21,84,92,100,8.6,1
S00081,22,71,67,68,3.9,1
S00082,18,65,78,67,7.1,1
S00083,22,68,92,68,6.3,1
S00084,22,74,82,72,6.4,1
S00085,18,97,70,64,7.1,1
S00086,18,74,73,60,6.2,1
S00087,18,80,68,94,4.9,1
S00088,18,64,64,68,3.5,1
S00089,21,77,100,70,7.9,1
S00090,20,60,65,72,3.0,1
S00091,20,77,56,63,7.2,1
S00092,18,68,55,50,3.1,1
S00093,20,90,54,65,6.6,1
S00094,20,84,77,99,7.7,1
S00095,18,74,39,59,3.0,1
S00096,20,46,45,28,1.5,0
S00097,22,55,41,74,2.2,0
S00098,19,69,80,71,6.5,1
S00099,19,88,84,60,8.6,1
S00100,18,52,57,53,1.4,0
S00101,21,88,79,85,7.6,1
S00102,18,57,50,71,4.1,1
S00103,21,72,76,92,5.3,1
S00104,19,94,100,75,9.4,1
S00105,18,45,69,67,4.0,1
S00106,22,92,65,62,5.2,1
S00107,20,52,37,37,1.1,0
S00108,21,37,45,69,1.7,0
S00109,20,65,67,69,3.3,1
S00110,20,56,65,60,1.3,0
S00111,18,76,79,81,6.7,1
S00112,20,79,77,61,4.8,1
S00113,22,81,81,61,5.9,1
S00114,20,63,64,62,2.6,0
S00115,18,69,56,79,3.7,1
S00116,22,77,79,96,7.0,1
S00117,19,100,79,95,9.7,1
S00118,20,41,54,58,1.5,0
S00119,18,87,89,87,9.0,1
S00120,19,75,93,74,6.2,1
S00121,19,83,59,61,6.1,1
S00122,21,64,76,72,5.5,1
S00123,22,39,71,42,1.6,0
S00124,20,59,64,57,1.8,0
S00125,18,78,84,94,6.4,1
S00126,21,81,72,76,4.1,1
S00127,22,74,100,73,9.3,1
S00128,21,80,56,68,4.7,1
S00129,22,83,42,50,2.3,0
S00130,22,76,79,77,7.4,1
S00131,20,51,39,77,3.6,1
S00132,22,69,85,80,5.7,1
S00133,21,79,92,100,7.3,1
S00134,22,92,81,98,9.1,1
S00135,20,76,78,83,8.1,1
S00136,20,94,77,85,7.1,1
S00137,21,67,78,74,7.1,1
S00138,19,71,89,72,9.5,1
S00139,19,76,70,81,3.7,1
S00140,22,31,50,68,1.0,0
S00141,18,62,73,61,3.4,1
S00142,22,93,66,66,3.0,1
S00143,21,78,71,91,7.0,1
S00144,21,66,91,86,6.7,1
S00145,21,75,60,56,6.3,1
S00146,21,54,52,59,1.1,0
S00147,21,82,91,77,7.6,1
S00148,20,72,56,79,3.9,1
S00149,19,68,81,89,7.0,1
S00150,21,91,79,89,6.0,1
S00151,18,69,56,53,4.1,1
S00152,18,66,56,50,2.2,0
S00153,18,51,54,72,1.8,0
S00154,18,97,78,75,8.5,1
S00155,20,85,100,66,9.3,1
S00156,18,80,68,82,6.8,1
S00157,21,48,67,52,1.9,0
S00158,22,58,63,90,4.6,1
S00159,18,87,68,82,7.6,1
S00160,20,78,83,82,8.0,1
S00161,20,50,64,55,2.1,0
S00162,18,48,62,75,1.0,0
S00163,22,87,96,82,7.4,1
S00164,18,61,98,62,4.2,1
S00165,20,62,65,54,3.3,1
S00166,19,55,45,55,1.1,0
S00167,21,54,78,61,5.9,1
S00168,20,70,82,95,8.7,1
S00169,18,92,99,64,9.6,1
S00170,21,67,59,72,6.1,1
S00171,18,83,98,79,5.6,1
S00172,18,67,65,62,1.8,0
S00173,19,81,54,64,5.9,1
S00174,21,86,59,75,4.4,1
S00175,21,75,84,64,6.5,1
S00176,19,74,80,67,4.5,1
S00177,20,57,47,71,3.2,1
S00178,18,82,64,64,1.9,0
S00179,22,85,43,57,3.8,1
S00180,18,58,55,73,1.9,0
S00181,18,64,71,62,2.6,0
S00182,20,100,84,96,9.9,1
S00183,18,69,52,88,5.0,1
S00184,19,67,74,86,5.8,1
S00185,19,94,79,97,8.9,1
S00186,21,91,97,89,10.0,1
S00187,22,77,64,83,6.2,1
S00188,18,75,74,84,8.3,1
S00189,18,48,42,51,3.9,0
S00190,20,68,66,69,3.8,1
S00191,19,77,66,71,4.6,1
S00192,22,76,65,84,7.1,1
S00193,21,93,80,75,7.1,1
S00194,19,58,75,56,3.8,1
S00195,21,48,55,68,2.2,0
S00196,20,76,79,60,6.7,1
S00197,20,58,60,77,2.2,0
S00198,18,82,61,71,6.2,1
S00199,22,71,100,80,7.2,1
S00200,21,93,73,84,7.3,1
S00201,19,100,88,86,7.8,1
S00202,20,85,94,66,8.9,1
S00203,18,84,70,81,5.5,1
S00204,18,70,87,82,7.6,1
S00205,21,87,78,67,6.6,1
S00206,20,71,44,52,2.7,0
S00207,22,63,49,52,1.2,0
S00208,20,64,56,49,3.6,1
S00209,21,40,64,90,5.0,1
S00210,21,70,61,93,6.6,1
S00211,20,78,97,88,8.6,1
S00212,21,51,77,59,2.8,0
S00213,20,60,68,57,2.1,0
S00214,19,85,100,95,9.7,1
S00215,20,50,53,80,2.0,0
S00216,20,61,63,64,5.3,1
S00217,21,68,66,61,6.3,1
S00218,21,85,80,91,5.9,1
S00219,18,51,58,37,1.8,0
S00220,18,51,53,45,1.5,0
S00221,19,53,70,56,1.9,0
S00222,18,79,79,55,6.3,1
S00223,20,78,64,86,5.9,1
S00224,21,32,54,73,3.1,1
S00225,18,87,84,69,6.7,1
S00226,18,98,95,97,8.4,1
S00227,19,45,60,74,1.4,0
S00228,19,62,92,70,5.5,1
S00229,20,74,96,72,7.2,1
S00230,21,56,67,91,3.3,1
S00231,19,67,55,74,3.8,1
S00232,18,57,61,78,6.5,1
S00233,21,75,82,100,9.1,1
S00234,21,99,91,85,8.3,1
S00235,18,66,94,68,6.2,1
S00236,19,93,85,80,7.6,1
S00237,18,71,79,80,4.3,1
S00238,21,59,74,52,6.8,1
S00239,22,77,77,67,5.2,1
S00240,22,60,68,78,2.7,0
S00241,20,75,57,71,7.3,1
S00242,18,76,69,92,6.0,1
S00243,18,72,76,84,4.2,1
S00244,20,94,90,83,9.2,1
S00245,20,67,40,49,1.2,0
S00246,20,69,37,62,3.8,1
S00247,21,42,50,89,1.5,0
S00248,18,77,80,100,7.9,1
S00249,21,100,69,79,7.3,1
S00250,20,73,66,59,4.0,1
S00251,18,100,83,78,7.1,1
S00252,21,82,75,71,4.6,1
S00253,21,84,55,64,7.8,1
S00254,20,73,55,71,5.1,1
S00255,18,68,64,84,4.7,1
S00256,20,70,94,63,9.4,1
S00257,18,63,67,73,3.3,1
S00258,22,71,62,76,2.1,0
S00259,19,69,70,67,6.3,1
S00260,19,93,85,100,9.7,1
S00261,19,76,58,59,4.4,1
S00262,20,47,63,63,1.6,0
S00263,22,62,55,63,4.1,1
S00264,18,62,81,68,5.6,1
S00265,21,52,61,53,2.5,0
S00266,18,65,76,85,6.9,1
S00267,21,81,83,97,10.0,1
S00268,18,85,55,69,5.1,1
S00269,22,58,59,50,4.2,1
S00270,21,70,64,73,4.6,1
S00271,20,53,30,64,2.0,0
S00272,18,97,83,81,8.9,1
S00273,18,82,78,91,4.7,1
S00274,21,77,73,49,4.5,1
S00275,20,81,72,50,6.9,1
S00276,20,68,70,61,5.0,1
S00277,22,65,70,84,6.8,1
S00278,20,76,56,45,1.6,0
S00279,20,76,100,69,8.3,1
S00280,20,95,99,97,9.5,1
S00281,19,88,82,81,6.8,1
S00282,22,83,83,90,9.6,1
S00283,18,70,66,70,2.4,0
