Household_ID,Age_of_Household_Head,Household_Income,Education_Level,Family_Size,Owns_House,Urban_Rural
HH001,63,58397.19,Graduate,6,Yes,Urban
HH002,45,44123.46,Secondary,8,No,Rural
HH003,43,88296.82,Post-Graduate,6,Yes,Urban
HH004,60,19427.03,Primary,4,Yes,Urban
HH005,46,25478.99,Primary,7,Yes,Rural
HH006,62,38723.87,Secondary,3,Yes,Urban
HH007,45,82548.54,Graduate,6,Yes,Rural
HH008,68,83464.58,Graduate,2,Yes,Urban
HH009,51,71769.04,Post-Graduate,5,Yes,Urban
HH010,40,26885.48,Primary,8,No,Rural
HH011,68,95713.86,Graduate,4,No,Urban
HH012,61,97096.19,Post-Graduate,4,Yes,Urban
HH013,31,57796.95,Graduate,6,Yes,Rural
HH014,26,76369.28,Graduate,5,No,Urban
HH015,52,31827.58,Secondary,6,Yes,Urban
HH016,32,38705.96,Secondary,8,Yes,Urban
HH017,59,62246.59,Graduate,5,Yes,Urban
HH018,26,43114.79,Secondary,7,Yes,Rural
HH019,30,68876.0,Graduate,6,Yes,Urban
HH020,42,48279.0,Graduate,3,Yes,Urban
HH021,68,103292.4,Post-Graduate,7,Yes,Urban
HH022,47,67056.42,Graduate,5,No,Rural
HH023,64,43785.55,Secondary,8,Yes,Urban
HH024,48,45273.52,Secondary,3,Yes,Rural
HH025,49,96185.13,Post-Graduate,2,Yes,Rural
HH026,53,25895.68,Secondary,8,No,Urban
HH027,69,34584.62,Secondary,8,Yes,Urban
HH028,35,44893.41,Secondary,4,Yes,Rural
HH029,41,47444.68,Secondary,4,Yes,Rural
HH030,29,45422.14,Secondary,3,Yes,Urban
HH031,63,28973.71,Primary,2,Yes,Rural
HH032,32,41928.98,Secondary,5,Yes,Urban
HH033,58,85576.54,Post-Graduate,7,Yes,Rural
HH034,48,76145.98,Post-Graduate,6,Yes,Rural
HH035,59,46110.14,Graduate,4,Yes,Urban
HH036,25,72655.44,Graduate,4,Yes,Urban
HH037,61,32529.9,Secondary,7,No,Rural
HH038,63,46273.67,Secondary,4,Yes,Urban
HH039,33,78932.24,Post-Graduate,5,No,Urban
HH040,37,68994.71,Graduate,4,Yes,Urban
HH041,56,47974.99,Graduate,5,Yes,Rural
HH042,54,48339.93,Secondary,6,Yes,Urban
HH043,47,30236.23,Primary,6,No,Rural
HH044,60,92446.71,Graduate,6,Yes,Urban
HH045,56,119212.57,Post-Graduate,5,No,Urban
HH046,26,46589.86,Secondary,3,Yes,Rural
HH047,69,57676.14,Graduate,5,Yes,Urban
HH048,52,37470.67,Secondary,5,Yes,Rural
HH049,68,47701.13,Secondary,3,Yes,Urban
HH050,52,62483.69,Graduate,2,Yes,Urban
HH051,63,85352.67,Post-Graduate,4,Yes,Urban
HH052,37,43687.64,Secondary,2,Yes,Urban
HH053,27,40040.91,Secondary,2,Yes,Urban
HH054,61,38123.3,Secondary,2,Yes,Rural
HH055,66,43623.49,Secondary,7,No,Rural
HH056,56,24003.63,Primary,2,Yes,Rural
HH057,36,39851.59,Secondary,2,Yes,Rural
HH058,61,44917.94,Graduate,2,Yes,Rural
HH059,41,59698.81,Graduate,2,Yes,Urban
HH060,25,39326.68,Secondary,4,Yes,Urban
HH061,26,35014.89,Graduate,7,No,Rural
HH062,56,33881.97,Primary,8,Yes,Urban
HH063,28,86142.16,Post-Graduate,2,Yes,Urban
HH064,62,34486.45,Secondary,6,Yes,Urban
HH065,58,44694.86,Secondary,2,No,Urban
HH066,33,129428.2,Post-Graduate,5,Yes,Urban
HH067,30,104214.11,Post-Graduate,5,No,Rural
HH068,60,97766.81,Post-Graduate,4,No,Urban
HH069,50,27594.69,Secondary,8,Yes,Urban
HH070,65,25411.38,Primary,2,Yes,Rural
HH071,64,44964.39,Secondary,2,No,Urban
HH072,35,38712.5,Secondary,5,No,Rural
HH073,49,67467.8,Graduate,3,No,Urban
HH074,59,28452.13,Secondary,8,No,Urban
HH075,40,41819.68,Secondary,5,No,Urban
HH076,26,80685.71,Graduate,2,Yes,Rural
HH077,36,31002.91,Primary,8,No,Urban
HH078,33,25914.53,Primary,2,Yes,Rural
HH079,59,46529.22,Secondary,5,Yes,Rural
HH080,48,43773.66,Secondary,7,Yes,Rural
HH081,57,34559.8,Secondary,5,Yes,Urban
HH082,62,94180.57,Post-Graduate,5,Yes,Rural
HH083,59,44535.15,Secondary,2,Yes,Rural
HH084,53,38684.0,Secondary,3,Yes,Rural
HH085,42,12000.0,Primary,6,Yes,Rural
HH086,65,75542.8,Post-Graduate,5,Yes,Urban
HH087,57,39961.14,Secondary,5,No,Rural
HH088,32,83100.18,Post-Graduate,8,Yes,Urban
HH089,27,74864.72,Graduate,5,No,Rural
HH090,46,124142.27,Post-Graduate,8,No,Urban
HH091,46,75544.08,Graduate,4,Yes,Rural
HH092,51,85687.3,Post-Graduate,3,Yes,Urban
HH093,45,41406.53,Primary,2,Yes,Urban
HH094,29,66125.19,Graduate,5,No,Urban
HH095,43,82758.19,Graduate,2,Yes,Urban
HH096,68,97141.94,Post-Graduate,5,No,Urban
HH097,54,39006.94,Secondary,6,Yes,Urban
HH098,55,73884.09,Graduate,4,Yes,Urban
HH099,57,62390.52,Graduate,8,Yes,Urban
HH100,57,22148.46,Primary,4,Yes,Rural
HH101,42,102781.97,Post-Graduate,3,Yes,Rural
HH102,27,66109.75,Graduate,7,Yes,Urban
HH103,48,45080.9,Secondary,8,No,Rural
HH104,26,70556.38,Post-Graduate,8,No,Urban
HH105,51,31796.0,Secondary,2,Yes,Rural
HH106,33,68705.29,Post-Graduate,4,Yes,Rural
HH107,63,30430.73,Primary,4,No,Rural
HH108,49,79129.72,Post-Graduate,6,No,Rural
HH109,31,33624.14,Primary,2,No,Urban
HH110,32,90131.51,Post-Graduate,7,No,Rural
HH111,40,65820.22,Graduate,8,Yes,Rural
HH112,46,22543.55,Primary,4,No,Rural
HH113,49,41198.67,Secondary,2,No,Urban
HH114,66,41127.26,Secondary,7,No,Urban
HH115,39,19641.28,Primary,2,Yes,Urban
HH116,32,83973.29,Post-Graduate,6,No,Urban
HH117,68,64428.28,Graduate,7,Yes,Rural
HH118,69,44149.56,Secondary,5,No,Urban
HH119,54,128590.99,Post-Graduate,5,Yes,Rural
HH120,40,45071.35,Secondary,6,Yes,Urban
HH121,66,77576.24,Graduate,8,Yes,Rural
HH122,43,34971.44,Secondary,5,Yes,Urban
HH123,50,44039.9,Secondary,6,No,Urban
HH124,25,105583.59,Post-Graduate,3,Yes,Rural
HH125,25,46414.06,Graduate,7,No,Urban
HH126,49,22941.23,Primary,6,No,Urban
HH127,25,56977.25,Secondary,8,No,Rural
HH128,27,48259.72,Secondary,5,Yes,Urban
HH129,50,50135.29,Secondary,2,Yes,Urban
HH130,53,34338.64,Secondary,7,No,Rural
HH131,52,97988.75,Post-Graduate,5,Yes,Urban
HH132,40,46197.07,Secondary,3,Yes,Urban
HH133,50,14069.86,Secondary,2,Yes,Rural
HH134,54,31804.9,Secondary,6,Yes,Urban
HH135,47,37404.84,Secondary,3,No,Rural
HH136,43,28147.65,Primary,3,Yes,Urban
HH137,56,69859.71,Graduate,5,Yes,Rural
HH138,40,75916.86,Graduate,8,No,Urban
HH139,26,25418.81,Primary,4,Yes,Urban
HH140,44,36917.49,Secondary,5,No,Urban
HH141,59,35078.93,Secondary,4,Yes,Urban
HH142,67,90335.81,Graduate,6,Yes,Urban
HH143,36,70271.93,Graduate,3,Yes,Rural
HH144,67,63698.03,Graduate,5,Yes,Urban
HH145,53,22081.4,Primary,6,No,Urban
HH146,50,26245.59,Primary,3,Yes,Rural
HH147,50,30094.15,Secondary,8,No,Rural
HH148,28,75156.28,Post-Graduate,3,Yes,Rural
HH149,69,98075.68,Post-Graduate,5,Yes,Rural
HH150,34,39370.15,Secondary,6,No,Urban
HH151,33,123667.63,Post-Graduate,4,No,Urban
HH152,60,53504.14,Secondary,3,Yes,Rural
HH153,63,77524.11,Graduate,6,Yes,Rural
HH154,36,41831.83,Secondary,2,Yes,Urban
HH155,37,33099.08,Secondary,7,Yes,Urban
HH156,41,29743.56,Primary,2,Yes,Rural
HH157,44,58721.74,Graduate,4,Yes,Urban
HH158,43,47593.14,Secondary,2,Yes,Urban
HH159,60,37831.68,Secondary,7,No,Urban
HH160,55,57642.86,Graduate,5,No,Rural
HH161,43,33173.92,Secondary,6,Yes,Urban
HH162,59,64828.63,Graduate,5,No,Rural
HH163,49,28474.78,Secondary,6,No,Urban
HH164,47,68231.81,Graduate,2,Yes,Urban
HH165,63,39902.03,Secondary,8,Yes,Urban
HH166,38,54232.95,Graduate,8,Yes,Urban
HH167,29,42596.15,Secondary,4,Yes,Rural
HH168,42,35051.76,Primary,8,Yes,Urban
HH169,36,30333.91,Primary,2,Yes,Urban
HH170,62,43968.51,Secondary,8,Yes,Urban
HH171,37,35956.46,Secondary,4,Yes,Rural
HH172,26,29145.72,Secondary,6,No,Rural
HH173,53,28415.33,Secondary,5,Yes,Urban
HH174,41,28740.29,Secondary,8,No,Urban
HH175,31,56378.67,Graduate,6,No,Rural
HH176,68,62438.63,Graduate,7,No,Urban
HH177,63,30145.96,Primary,8,Yes,Urban
HH178,27,63080.74,Graduate,6,Yes,Urban
HH179,37,82324.97,Graduate,5,No,Urban
HH180,52,42021.11,Graduate,6,No,Urban
HH181,65,75082.05,Graduate,5,No,Urban
HH182,49,31800.05,Primary,2,Yes,Rural
HH183,62,114458.7,Post-Graduate,6,Yes,Rural
HH184,56,23281.92,Primary,6,No,Rural
